trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
218,False,"{'a': 0.5, 'e': 1.392342093417188e-05}",20,0,22.115852996240818,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
219,False,"{'a': 0.5, 'e': 1.3227249887463283e-05}",35,6,17.222145861211573,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
220,False,"{'a': 0.5, 'e': 1.2565887393090119e-05}",20,0,29.117935834427243,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 1.1937593023435613e-05}",25,0,27.66949334505022,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.5, 'e': 1.1340713372263832e-05}",20,0,16.528413397012272,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.5, 'e': 1.0773677703650639e-05}",25,18,15.472140669531683,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.5, 'e': 1.0234993818468106e-05}",25,0,36.30203870265038,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.5, 'e': 9.7232441275447e-06}",20,0,30.14615283437548,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.5, 'e': 9.237081921167466e-06}",20,0,24.424279913543906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.5, 'e': 8.775227825109093e-06}",20,14,10.51286932976366,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 8.336466433853638e-06}",20,0,15.692934082293569,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
229,False,"{'a': 0.5, 'e': 7.919643112160954e-06}",25,6,17.528194458034196,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 7.5236609565529066e-06}",25,9,25.8092628450391,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 7.1474779087252615e-06}",20,8,21.409909233236476,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 6.790104013288998e-06}",25,10,22.6849453182029,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 6.450598812624547e-06}",20,16,6.072566252825933,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 6.12806887199332e-06}",20,0,4.238750477505149,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
235,False,"{'a': 0.5, 'e': 5.8216654283936535e-06}",20,0,19.01509081559778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 5.53058215697397e-06}",20,0,21.85094472464365,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
237,False,"{'a': 0.5, 'e': 5.254053049125272e-06}",20,0,26.43312196342084,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
