trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1078,False,"{'a': 0.5, 'e': 0.03920853901540532}",20,0,18.526597175092412,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1079,False,"{'a': 0.5, 'e': 0.03909091339835911}",20,14,10.407368816178467,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1080,False,"{'a': 0.5, 'e': 0.03897364065816403}",30,22,11.6672214772321,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1081,False,"{'a': 0.5, 'e': 0.03885671973618954}",20,12,14.544171234997712,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1082,False,"{'a': 0.5, 'e': 0.03874014957698097}",25,12,23.882055437961785,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1083,False,"{'a': 0.5, 'e': 0.03862392912825003}",20,9,-19.06506127123829,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
1084,False,"{'a': 0.5, 'e': 0.03850805734086528}",25,14,20.029311104237514,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1085,False,"{'a': 0.5, 'e': 0.03839253316884268}",25,3,26.243900642126157,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1086,False,"{'a': 0.5, 'e': 0.038277355569336154}",20,15,-12.373312326029108,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
1087,False,"{'a': 0.5, 'e': 0.038162523502628144}",20,16,8.461587303171349,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1088,False,"{'a': 0.5, 'e': 0.03804803593212026}",25,11,26.611610893951973,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1089,False,"{'a': 0.5, 'e': 0.0379338918243239}",25,10,22.720291521328694,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1090,False,"{'a': 0.5, 'e': 0.037820090148850925}",20,8,22.13030042936404,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1091,False,"{'a': 0.5, 'e': 0.037706629878404375}",20,14,13.659919290134978,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1092,False,"{'a': 0.5, 'e': 0.03759350998876916}",25,7,34.48179502349707,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1093,False,"{'a': 0.5, 'e': 0.037480729458802854}",25,0,34.456214013911925,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1094,False,"{'a': 0.5, 'e': 0.037368287270426445}",25,16,16.980115969802284,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1095,False,"{'a': 0.5, 'e': 0.03725618240861516}",20,0,25.308171523016867,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1096,False,"{'a': 0.5, 'e': 0.03714441386138932}",30,10,21.141647583926005,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
1097,False,"{'a': 0.5, 'e': 0.03703298061980515}",20,1,19.388373553928865,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1098,False,"{'a': 0.5, 'e': 0.03692188167794574}",20,14,11.385902110188571,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1099,False,"{'a': 0.5, 'e': 0.0368111160329119}",25,6,-11.64885981084501,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
1100,False,"{'a': 0.5, 'e': 0.03670068268481316}",25,14,7.1155348887570895,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1101,False,"{'a': 0.5, 'e': 0.03659058063675873}",25,7,28.87771833248752,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1102,False,"{'a': 0.5, 'e': 0.03648080889484845}",30,16,31.64559569890126,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1103,False,"{'a': 0.5, 'e': 0.0363713664681639}",20,5,22.68722760804112,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1104,False,"{'a': 0.5, 'e': 0.03626225236875941}",20,9,-3.60467242792676,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
1105,False,"{'a': 0.5, 'e': 0.036153465611653134}",25,0,40.80338733051519,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1106,False,"{'a': 0.5, 'e': 0.036045005214818175}",20,10,14.91808203905798,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1107,False,"{'a': 0.5, 'e': 0.035936870199173715}",20,1,29.039115785342226,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1108,False,"{'a': 0.5, 'e': 0.0358290595885762}",20,11,16.7433894050473,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1109,False,"{'a': 0.5, 'e': 0.03572157240981047}",20,16,9.092840814187928,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1110,False,"{'a': 0.5, 'e': 0.035614407692581035}",25,19,12.032388499508329,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1111,False,"{'a': 0.5, 'e': 0.035507564469503296}",20,13,12.928411392786895,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1112,False,"{'a': 0.5, 'e': 0.03540104177609478}",30,8,24.62519394790114,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1113,False,"{'a': 0.5, 'e': 0.0352948386507665}",20,12,16.51973983028489,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1114,False,"{'a': 0.5, 'e': 0.035188954134814196}",20,14,10.72135416276252,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1115,False,"{'a': 0.5, 'e': 0.035083387272409755}",20,16,8.207822117914695,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1116,False,"{'a': 0.5, 'e': 0.03497813711059253}",20,3,27.769132863698832,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1117,False,"{'a': 0.5, 'e': 0.034873202699260746}",20,14,9.900747965392881,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1118,False,"{'a': 0.5, 'e': 0.034768583091162965}",25,12,23.339934765218242,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1119,False,"{'a': 0.5, 'e': 0.034664277341889475}",20,15,8.827405094451441,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1120,False,"{'a': 0.5, 'e': 0.03456028450986381}",30,7,6.630593743298961,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
1121,False,"{'a': 0.5, 'e': 0.03445660365633422}",20,0,31.097307225782824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1122,False,"{'a': 0.5, 'e': 0.03435323384536521}",25,8,28.65985316899301,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1123,False,"{'a': 0.5, 'e': 0.03425017414382912}",25,13,9.652207367874043,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1124,False,"{'a': 0.5, 'e': 0.03414742362139763}",20,0,30.962199029801752,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1125,False,"{'a': 0.5, 'e': 0.03404498135053344}",20,8,18.764568437807004,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1126,False,"{'a': 0.5, 'e': 0.03394284640648184}",20,11,17.63421444189392,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1127,False,"{'a': 0.5, 'e': 0.033841017867262395}",20,4,30.10528550677127,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1128,False,"{'a': 0.5, 'e': 0.033739494813660606}",20,13,12.496204521662733,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1129,False,"{'a': 0.5, 'e': 0.033638276329219625}",25,3,38.2103439568194,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1130,False,"{'a': 0.5, 'e': 0.03353736150023196}",20,16,9.678686832869218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1131,False,"{'a': 0.5, 'e': 0.03343674941573127}",20,14,10.86975239273944,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1132,False,"{'a': 0.5, 'e': 0.03333643916748408}",25,5,32.96796265879717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1133,False,"{'a': 0.5, 'e': 0.033236429849981625}",25,14,18.665666723271542,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1134,False,"{'a': 0.5, 'e': 0.033136720560431675}",30,11,20.538271837465327,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1135,False,"{'a': 0.5, 'e': 0.03303731039875038}",30,16,23.39962574582686,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1136,False,"{'a': 0.5, 'e': 0.03293819846755413}",25,16,17.91619929436775,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1137,False,"{'a': 0.5, 'e': 0.03283938387215147}",30,22,13.199880009000292,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1138,False,"{'a': 0.5, 'e': 0.032740865720535015}",20,10,19.36638598480364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1139,False,"{'a': 0.5, 'e': 0.03264264312337341}",30,15,28.51058372605486,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1140,False,"{'a': 0.5, 'e': 0.03254471519400329}",20,10,18.974563124783145,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1141,False,"{'a': 0.5, 'e': 0.03244708104842128}",20,8,25.7466324987099,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1142,False,"{'a': 0.5, 'e': 0.032349739805276015}",30,0,43.08803473185441,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
1143,False,"{'a': 0.5, 'e': 0.03225269058586019}",25,14,13.70606525357164,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
